message,label,token,category
победа Байдена = катастрофа для России,False,байден,политика
"Байден говорил про подъем налогов для бизнеса ,вернее отмену послаблений Трампа и про локдаун (но на днях от него переобулся )",False,трамп,политика
"У пессимистов, как известно, стакан пуст",False,пес,другое
пока тебя не забанят я буду рядом с тобой,False,забан,другое
"Шортист это лонгуст в маске, таже личность, только оборотень. А ещё он должен быть пессимистом.",False,пес,другое
Если в falcon запихать автомобиль тесла то полетит ),False,тесла,компании
"Интересная у него биография. И не мешало бы помнить, что мы у него, а не он у нас.  Тинькофф делатель и взращиватель бизнесов. Не даром его кумир Ричард Бренсон.",False,тиньк,компании
"насмотрелся я уже на теслаинвесторов. Маск гений, компания уникальная, это будущее. А при малейшей просадке продают???",False,тесла,компании
"Что то мне подсказывает, что лодыжка Байдена повлияет на рынок больше чем забота об экологии от Сбера",False,байден,политика
Путин могила,False,путин,политика
"А желание Байдена повысить налоги разве не должно либо нивелировать либо вообще свести на нет эффект от его поддержки экологии? Я имею ввиду эффект на цену акций, а не на экологию.",False,байден,политика
кстати меня тесла тоже прокатила на - 880$,False,тесла,компании
"а евроторг как найти в Тинькофф? Его как раз недавно в инвест-идеи советовали, но не нашёл ?",False,тиньк,компании
Мне за друга дали мтс на 340 руб. Хоть Тинькофф и не обманул что выплатить подарок ДО 20 тыс руб ?,False,тиньк,компании
Плохой пример..пес плохо кончил?,False,пес,другое
"если очко железное, можно и 2 $ ждать  Ну и когда по 115 р в день, никто не считает минусом!  Мой вариант!",False,очко,другое
Да как там в песенке поется - всё хорошо прекрасная маркиза.....))),False,пес,другое
Минус 1200 $ тесла,False,тесла,компании
Можно просто берёшь И удаляешь тинькофф инвестиции.,False,тиньк,компании
ну я в тинькоф со средней 0.4 пока вместе с вами,False,тиньк,компании
"это после слов Трампа,а не ТА",False,трамп,политика
"Думаю, лечит она не лечит от ковида, после новости с Трампом, всё внимание на вакцину и тп",False,трамп,политика
кто такой этот Байден?),False,байден,политика
"Чо покупать, чо продавать? Тесла дорогая слишком и на самом верху реально шоль еще выше попрёт?",False,тесла,компании
Нет. Это не про нас. Эти бумаги тинькофф не торгует. Но дивиденды по этим бумагам за несколько дней объявляют до дивидендов по нашим.,False,тиньк,компании
"Давно хочу перейти с тинька , подыскиваю что то другое",False,тиньк,компании
Уверен что ценник так и будет болтается 60.5-59.5...  Гонк и шорт это просто помощь тиньку в комиссии...,False,тиньк,компании
"я как-то яндекс в + продал на хайпе, у меня показало +800% Бред же, с 500к 20к всего поднял",False,яндекс,компании
"любит Тинькофф такое дело, к сожалению.",False,тиньк,компании
"Ну ну, +3.5% за день, это за упокой яндекса?",False,яндекс,компании
"Тесла это будущее, вы не понимаете",False,тесла,компании
"Действует, но тинькоф их учитывает, так что всё нормально.",False,тиньк,компании
там без сбоев? Тиньковский?,False,тиньк,компании
"Как думаете, как завтра себя будет вести Тесла? Капитан банальный вопрос приветствует вас ???????",False,тесла,компании
"ну я ещё должна осталась тиньку, видимо(((",False,тиньк,компании
"Взял шорт по 11.14 и хорошенько закрыл уже. Зачем лишний раз очковать и амеров ждать, на объеме можно и скальпить",False,очко,другое
"Я 26 августа так же думала и купила на все по 75,8 ? кое-как скинула и перезашла. Сейчас прям очково как-то опять встрять)))",False,очко,другое
У меня минус 3 тыс дол какои ещё к черту спад дальше?,False,черт,другое
тебя тиньков персонально забанил,False,забан,другое
Почему не забанили ?,False,забан,другое
а че у тебя в роту делают немецкие зубы. Дед передал???,False, рот,другое
"ну так то да, но если Трамп победит на выборах, он может после них подписать это.",False,трамп,политика
"при выборе Трампа, продолжится торговая война с китаем, а амд этим перестраховаться решил, по-моему так все произошло",False,трамп,политика
Опрос говорит что Байден лидирует,False,байден,политика
"Привет Михаил! Подписан на тебя и прислушиваюсь. Вопрос по Алибаба есть рано фиксировать убытки, ждать?",False,баба,сексизм
сходим! Алибаба тоже должна вниз! Эпл вверх,False,баба,сексизм
Посмотрим что до пятницы будет смотри алибаба куда упал,False,баба,сексизм
"Осталось подождать чтоб он припал ещё процентов на 5 и можно заходить снова, а то я от расстройства от продажи Яндексу, почти все продал и в валил норникель.",False,яндекс,компании
На графике в терминале Тинькова или на сайте investing.com,False,тиньк,компании
"Тинькофф ГАВНО БАНК, бегите от него.",True,тиньк,компании
"хорошо баба, пущай так будет))",False,баба,сексизм
Безумная баба (с),False,баба,сексизм
"бууум, у меня нет никого, бабаааах, еще гукич появился",False,баба,сексизм
"сейчас на рынках сильная волатильность, делать во времена большой неопределенности какие-то прогнозы дело бессмысленное. Сейчас как пакет поддержки Байден пообещает и улетим в космос",False,байден,политика
Трамп похоже проиграет выборщикам все равно.,False,трамп,политика
"Байден вверх, Трампа боковик",False,трамп,политика
"Удали мат, забанят на пару суток",False,забан,другое
забанили за пост про жуков в бутерброде которых я ем,False,забан,другое
"я его уже оплатил, минус 30к, черт меня дернул опять этой фигней заняться.",False,черт,другое
"Очень советую пройти курс от Тинькофф о инвестициях. Есть в отдельном приложении и на сайте тинькоф журнала.  В принципе его практически достаточно, чтобы собрать самый простой портфель.",False,тиньк,компании
тесла в плюсе,False,тесла,компании
"Купить не могут лишь те кто торгует через Тиньков, нам запретили.",False,тиньк,компании
Объясните уже наконец почему при Байдене доллар за 100??,False,байден,политика
"Байден, как будущий президент должен сказать что-то хорошее, но это не точно )",False,байден,политика
"Байден еще в Неваде победить должен, для полной победы",False,байден,политика
Это значит держать псинку?,False,псин,другое
"що ма?мо то ма?мо, сало  з неба пада?, прямо у рота?",False, рот,другое
"Черт, тогда я дико не прав",False,черт,другое
Скорее всего глюк Тинька или биржи,False,тиньк,компании
это нужно у Тинькова спросить,False,тиньк,компании
"Вот и подтверждение, что Тесла будет расти. Может, и опустится ещё до 350-360, по потом будет 700",False,тесла,компании
"Надо Навальному трусы вернуть, может чуток $ упадет",False,навальн,политика
скорее всего трамп останется на второй срок и доллар также пойдёт наверх как всегда,False,трамп,политика
Вопрос лишь в 6 голосах в штате Невада. Если с шестью выборщиками договорятся - у Трампа 271 голос будет и соответственно победа.,False,трамп,политика
Без тягомотины вот так просто и без твита? Ну нет,False,гомо,сексизм
Все знают что в понедельник баба будут стоить 300),False,баба,сексизм
гомояблоко?,False,гомо,сексизм
Путину расскажи) он уже 20 лет раскачивается,False,путин,политика
Байден побеждает так-то,False,байден,политика
Ну на сегодняшний день даже путин призвал к инвестициям. Экономику спасут физики???,False,путин,политика
Доброе утро! В тинькофф стало доступно несколько немецких компаний. В качестве диверсиыикации какие можете посоветовать посмотреть?,False,тиньк,компании
"Я тебя понял, надо Тесла??? покупать, профан. ?",False,тесла,компании
"так это же Ваши слова Тесла упала и на это есть причины...   Я и сказал что весь рынок откатился, а Вашими словами упал, и падение Теслы не связано с Берлином или днем батарей.",False,тесла,компании
Чертов гений :),False,черт,другое
"Вышел, дак ищи другой профит, а не гоняйся за мячом, как собака. Много других акций, дай всем заработать.",False,собак,другое
"почитай,зрелый взгляд))). Этот вирус как герпес,уже на всю жизнь у тебя в организме. От герпеса кстати так ничего и не изобрели. И не избавишься ты от Короны никакой вакциной",False,пес,другое
"если байден победит, существует вероятность введения карантина, причем реальная",False,байден,политика
Трамп. Твиттер. Всё :),False,трамп,политика
"Да это просто жути нагнали про Байдена, чтобы жути нагнать и доллар по максимуму продать всем желающим на хаях, а акции скупить на лоях",False,байден,политика
смайлик в посте ->???? девочковый?,False,очко,другое
"Сначала все очкошортеры выйдут, вверх пойдём",True,очко,другое
"Нам с этой девочкой в красном кастол роудж, пожалуйста",False,очко,другое
"У нытиков баба как ты говоришь, которые сидели с 300$ и усредниловка на 270 уже финансы не позволяют усреднять, усреднись я на последние плечи по 254, мои плечи и 250 бы не выдержали",False,баба,сексизм
У тебя еще алибаба такой же?,False,баба,сексизм
На открытии торгов баба ещё упадёт значит,False,баба,сексизм
Песенок нам ещё тут нахватало...,False,пес,другое
Забаньте его,False,забан,другое
"Это тот случай когда повезло , бакс 77 не увидел, а очко получило массу удовольствия!????",False,очко,другое
"а может и не отойти, вы думаете, что тех.график отражает суть?) Трамп заболел, вот и валятся рынки.",False,трамп,политика
"Ага, только более 249 Байдену не светит",False,байден,политика
"надеюсь, дело за учёными, а не Трампом) на патенты и положительные результаты тестирований лекарств обычно всё-таки рынок резко положительно реагирует, хотя я уже ничему не удивлюсь",False,трамп,политика
"Дед , угомонись Волокардинчику выпей",False,гомо,сексизм
"Пока с «потоком» не угомонятся, так и будет..",False,гомо,сексизм
"Все знали, что баба перепродана, все сидели и сидят в лонгах и ждут, когда она отрастет.  Аналитика от Бога, как сказали ранее",False,баба,сексизм
Про Навального и Беларусь читали? Не будет оно расти пока геополитические риски.,False,навальн,политика
"хм, ну тогда у Байдена будет 269 голосов, а у Трампа 265, если он остальные штаты возьмёт. Вроде так",False,трамп,политика
"«предварительные данные»!  Я привёл пример штата Пенсильвания, в котором Трамп ведёт на 12% и за который получит 20 голосов, а таких ещё 5 штатов и 77 голосов суммарно",False,трамп,политика
"Добрый! Вчера в тиньке увидел Богиню, 800 сделок с телефона  за день",False,тиньк,компании
"Яндекс правильный был выбор но никто не мог подумать , что Тинькофф передумает проводить сделку",False,яндекс,компании
вы самый лучший) вы со многими с самого их начала регистрации в тиньке) вы очень помогаете!,False,тиньк,компании
"Я за Байдена, но Трамп победит, плюс конгресс я так понял за республиканцам?",False,трамп,политика
"Навальный не дай бог чихнет, и обвалится ваш сбер еще 10%",False,навальн,политика
"Все логично, Трамп заболел, Модена в которую он вливает бюджет спасет его и возвысится до небес",False,трамп,политика
"Да че, тут осталось то, неделя до выборов. «Нам бы ночь простоять до день продержаться» сказал Трамп.",False,трамп,политика
"ну а так мы все уже с рождения при номере СНИЛС и с телефончиком, так что уже и ни Гейтс,а Путин",False,путин,политика
"честно,не верю в такой расклад,слишком это большие бабки . Байден, хочет чтоб все было «зелёное» , но это очень дорого,сомневаюсь,что ему дадут)но это чисто мое мнение)",False,байден,политика
"Баба 280 это ещё не пробитие, а скорее прокол",False,баба,сексизм
"баба просто,не привычно что ли по жизни?)))",False,баба,сексизм
"Если спекулировать не получается лучше купить и забыть,такую компанию как Али-Баба можно спокойно брать на долгосрок",False,баба,сексизм
Капец ты пессимист,False,пес,другое
"лови БАН, тряпка",True,тряпка,другое
"440 и потом на хаях черт меня дернул купить, поверил в рост) итого 499 средняя",False,черт,другое
"надежда баба крепкая, последней умерает...",False,баба,сексизм
"да вроде баба неплоха, чп на носу... Да и $ просто так лежали без дела. Если заминусит, доберу. Я без фанатизма.",False,баба,сексизм
"Баба встала, никуда и ни сюда",False,баба,сексизм
Тинькофф оборзел в край ((( за неделю третья ситуация(((,False,тиньк,компании
Это Тинькофф так на шорт натягивает. Пишите в поддержку,False,тиньк,компании
какие конкуренты у Яндекс.Еды? Деливери разве что и все,False,яндекс,компании
"Видимо кто то что то знает. Байден скорее всего победил в каком то штате. В новостях нет, а акции уже упали",False,байден,политика
Привет передавай зелёным и Байдену),False,байден,политика
"Байден победит, цифры вещь упрямая :))",False,байден,политика
"Подожди немного, щас рост идёт. Покупать надо на падении. Я на этом собаку съел :(",False,собак,другое
красава ? все разложил. Только ты никогда не сделаешь оптимиста пессимистом. Не мешай человеку покупать у шортистов акции??,False,пес,другое
Такая же песня,False,пес,другое
да черт их знает что они ждут. Просто писали же аналитики что несмотря на возможность локдауна 2.0 рынок на позитиве. Байден им траву легализовал - похоже накурились и гонят.,False,черт,другое
Да но очко жмет наночь оставить,False,очко,другое
У меня такая же песня,False,пес,другое
"5к минус да это песня ???я по 198 брала, сижу тихо жду....  Минус озвучивать не буду??",False,пес,другое
"Сидишь такой, читаешь телеграмм каналы, ножки свесил. А потом удивляешься почему рот в гавне",False, рот,другое
это из оперы - скажи миллион раз свинья собаке и глядишь захрюкает ? Нас - всех граждан РФ пытаются из всех приемников убедить какая классная эта самая ввпешная стабильность ?,False,собак,другое
в яблочко ??,False,очко,другое
"собаку хочу думаю какую взять овчарку немца, или спаниеля)",False,собак,другое
Чучуть заработал и вышел. Чо сразу песец то,False,пес,другое
"А какие акции иностранных эмитентов можно купить в Тинькофф инвестиции ЗА РУБЛИ? Насколько я понимаю, здесь это не доступно ?",False,тиньк,компании
Да нет. Не парой. Тесла села намного глубже. Графики были похожие но % совсем разный. Влез тоже на хаях ) до дня батарей и не надеюсь выйти в ноль. Сидим чилим. Ждем ),False,тесла,компании
"А тесла20$ стоила ,сейчас малину не так страшно брать как теслу",False,тесла,компании
"Square и PayPal лучше уберите из списка, биток к чертям летит ?",False,черт,другое
так и забанить могут,False,забан,другое
Жалобу кинул надеюсь забанят и бред перестанешь писать. Сектанты чертовы из обычной акции цирк сделали,True,черт,другое
"ком.партия китая расстреляла джека ма, алибаба банкрот",False,баба,сексизм
Спамер угомонись )) хорош слать это говно в ленту,True,гомо,сексизм
Алибаба просела,False,баба,сексизм
"Все так, разве баба Дуня ошиблась. Все бабки с ее лавки с утра купили, и погнали цену вверх))) Если баба Дуня  сходит посплетничать на детскую площадку у 4-ой поликлинике, ракета уйдет минимум 78.",False,баба,сексизм
Василий Алибабаевич!,False,баба,сексизм
"судя по портфелю, алибаба у вас уже нет, в момо, какая средняя?",False,баба,сексизм
"не факт , что на выборах будет ралли демократы могут накуканить Трампа))а в Рождество рынок почти всегда растёт, я смотрел графики последних 12 лет)",False,трамп,политика
"и когда Нефть стоила -20$ , цена доллара не была в 81 рубль . Что то тут не то . И Путин сказал бакс пускать в свободное плаванье .",False,путин,политика
"Да это желтуха, совсем не похоже на Трампа",False,трамп,политика
меня сегодня на Яндексе так выбило(,False,яндекс,компании
"Буду держать, деньги сейчас не сильно нужны . Пусть Тесла растёт .",False,тесла,компании
"Когда что-то у Яндекса спрашиваете, это нужно делать в браузере, на соответствующем сайте, а не в инвестициях.",False,яндекс,компании
это время для усреднения))может баба не захотела дочку отпускать)))),False,баба,сексизм
"Фригидная баба , даже сисек не запостила   на аве ...?",True,баба,сексизм
Бабам,False,баба,сексизм
"Шо, опять? (С) Жил был пёс",False,,
Старый пес,False,пес,другое
"прикол в том что при таком назадке она уже должна стоить 310. Уже все просели, Эпл и все, а эта тварь гнётся но не ломается, так что не факт друг, не факт",False,тварь,другое
"Так и есть. Тесла- это легальное казино. Никто не знает, пойдет она вверх или вниз",False,тесла,компании
"Браво Тесла! ? Вот, заработаю на Тесле, когда, сразу же куплю себе Теслу ?",False,тесла,компании
А что грозит яндексу?,False,яндекс,компании
да не понятная просто она. Поэтому риск очковый,False,очко,другое
Песков да что ты черт возьми такое говоришь,False,пес,другое
"Если не исключить вероятность гражданской войны после выборов, то это просто пыльца от цветочков.",False,очко,другое
Яндекс куш собирает)),False,яндекс,компании
"если бы не глюк Тинькофф, было бы у меня этих акций в 2 раза меньше.  А так они мне оформили продажу 2 раза.",False,тиньк,компании
а тесла отчёт 21 а у этой полет 22.... будет перекладка денег,False,тесла,компании
"забудьте шорт, Тесла дальше 500 будет идти",False,тесла,компании
"нюансов много, надо более подробно изучать не только в рамках валюты/стоимости, у Тинькова в блоге есть статьи тоже.  Надо больше времени для изучения",False,тиньк,компании
"в том и прикол, что тесла ходит за сиплым, а не насдаком. Выводы делайте сами.",False,тесла,компании
"Опа так Вы новичек, а уже успел мне рот закрывать... Вот такие тут и пишут. Скрин.",False, рот,другое
как в песне у Сплина - Делаем новых людей ?,False,пес,другое
? вот черт,False,черт,другое
Журнал Тинькофф Рост сбережений,False,тиньк,компании
ждите другую акцию от Тинькофф),False,тиньк,компании
"ваши клише ? ваши проблемы ! А какакшками покидаться идите лучше на ЯндексДзен, здесь более притязательная публика.",False,яндекс,компании
да не на нее точат- там всех касается. просто баба заметная. а вообще в ней дофига денег американцев- дадут выпрямиться,False,баба,сексизм
А чего Алибаба так упал?,False,баба,сексизм
Амеров заинтересовала Баба,False,баба,сексизм
баба?,False,баба,сексизм
да я в курсе)) удивляюсь просто от наших разработчиков такое приложение забабахали) подобия пульсу ни где вроде нет,False,баба,сексизм
"Я заметил, что две относительно алибаба небольшие компании Китая, занимающиеся торговлей онлайн выросли на 15%, а али сосет палец",False,баба,сексизм
"Трампа не выберут и это всем понятно. Так, что будет только предвыборное падение.",False,трамп,политика
че трамп что я пропустил?,False,трамп,политика
Спасибо за оперативность. Топим за Байдена,False,байден,политика
По моему тесла и при трампе неплохо росла,False,тесла,компании
"Просто так, потомучто все видят как растет тесла ,sedg, lb. Сливают нормальные компании и бегут в пампофигню",False,тесла,компании
в Тесла  сейчас работают люди которые раньше работали в других местах когда Теслы не было. Переучить хорошего инженера дело быстрое.,False,тесла,компании
гороховая тесла ?,False,тесла,компании
Теперь тесла шорт),False,тесла,компании
нужен конечно. Тинькофф то как раз строительством занимается ?,False,тиньк,компании
сейчас ещё пакет поддержки будет от Трампа  Полетит ещё  Потом отчёт,False,трамп,политика
"помощь авиа, помощь экономике, вакцина, открытие границ, победа трампа - 5 возможных толчков для роста в 2020.",False,трамп,политика
"Трамп по вакцине, что то выскажет",False,трамп,политика
"весной у тинькофф заказываете отчёт по дивидендам, называется отчет по иностранным доходам. Там вся информация, оттуда цифры в декларацию переносите",False,тиньк,компании
яндекс разве 0 за вчера? Или не учитываются вечерние сессии в статистике?,False,яндекс,компании
"я зашёл что бы снять его,но стоп лоса уже не было,подумал что пронесло,Тинькофф кароч не отобразил",False,тиньк,компании
Сентябрь- октябрь 600+ будет.. угомонитесь уже!),False,гомо,сексизм
не по полану. Все уровни поддержки пробивает не задерживаясь. Тут явно баба Валя виновата.,False,баба,сексизм
а смысл есть продавать то что в хорошем плюсе? У меня по алибаба например + 40%,False,баба,сексизм
Братан забанили мы все тут),False,забан,другое
"да черт их знает. Щас придут, снова все разнесут и заберут наши денежки. А может и не заберут.",False,черт,другое
"на яху финанс почитал статью в заголовке написано заявление о банкротстве, а тексте заявление о защите от банкротства И где собака зарыта?",False,собак,другое
"Учитывая, какая у тебя ожуенная (лол если за мат опять забанят)  доходность у пульса, это хороший знак).",True,забан,другое
"Да, ты избранный (нет). Все индексы летят к чертям с 4 числа, особенно техи.",False,черт,другое
"267 средняя, так и то очково... А 312 это просто без слов",False,очко,другое
На столько Алибаба сексуальная.... ммм ?,False,баба,сексизм
Сам ждёшь что баба сядет в ракету и полетит на Марс?,False,баба,сексизм
баба растет пожирая доллары,False,баба,сексизм
":) тут пол чата пишут похожее. Всех как забанить? Да и скучно будет, наверно?",False,забан,другое
"Ну правильно, покушаешь у пессимистов , продавать будем оптимистам ??",False,пес,другое
Прошу забанить за панические комментарии,False,забан,другое
"Это что ещё за песенки?))) яблоки! На снегу.,.",False,пес,другое
Забанили его,False,забан,другое
"я не только к вам, а к другому комментатору тоже :) в общем, зашортил я одну акцию, потому что моя инвест-модель не позволяет мне взять больше ? иначе все риски летят к черту ?",False,черт,другое
риг уже несколько раз успел прогнать. Сейчас тоже подбираю  Ждём новый денежный транш от Трампа,False,трамп,политика
"В пятницу шорты снял, взял в лонг! Оправданный поступок! Ребята ждите сегодня новость что Трампа не выпишут и сходим вниз! Ещё фонды не закупались по хорошей цене!",False,трамп,политика
